1500;24;26;29;35;38;23
1501;26;28;34;37;43;23
1502;3;4;20;40;45;26
1503;5;16;22;26;33;22
1504;16;21;34;41;47;17
1505;26;27;31;43;45;3
1506;10;11;33;39;40;25
1507;3;9;13;24;30;12
1508;1;4;37;38;41;15
1509;2;14;24;44;46;10
1510;4;16;28;35;41;17
1511;3;14;24;26;47;6
1512;5;9;27;38;46;8
1513;4;38;39;40;44;17
1514;4;16;26;32;35;2
1515;8;11;29;43;44;10
1516;15;18;28;36;43;6
1517;5;8;11;21;40;17
1518;15;29;30;46;47;24
1519;23;32;38;41;42;27
1520;9;10;27;28;41;14
1521;14;28;29;31;42;3
1522;24;32;33;36;45;18
1523;9;32;34;43;46;22
1524;14;19;34;37;42;26
1525;4;14;30;38;40;19
1526;4;14;29;31;46;1
1527;14;15;28;39;47;22
1528;23;24;30;36;37;20
1529;2;18;36;43;45;16
1530;10;16;20;43;45;20
1531;19;20;26;34;46;22
1532;3;10;29;30;37;20
1533;3;15;24;30;46;8
1534;4;25;29;36;44;18
1535;10;16;24;32;37;22
1536;3;9;18;26;33;9
1537;3;9;15;26;39;6
1538;10;12;20;28;42;1
1539;3;4;12;17;39;3
1540;23;28;29;38;39;11
1541;7;10;28;29;30;21
1542;20;24;27;28;47;15
1543;16;19;20;28;46;24
1544;1;7;24;44;45;23
1545;1;14;23;24;43;3
1546;1;21;29;35;47;16
1547;1;21;30;33;45;21
1548;13;17;20;41;46;2
1549;3;32;36;42;46;24
1550;8;22;28;37;43;6
1551;1;4;19;28;46;4
1552;6;11;31;32;39;20
1553;11;17;40;46;47;25
1554;6;27;38;39;41;27
1555;13;26;29;37;42;7
1556;13;28;34;43;44;11
1557;2;3;10;27;46;16
1558;22;24;25;26;46;19
1559;1;10;28;30;34;10
1560;2;8;25;42;46;8
1561;11;14;32;33;45;9
1562;5;12;33;41;46;27
1563;8;12;13;30;44;8
1564;18;28;33;39;42;12
1565;5;14;20;25;36;1
1566;17;24;34;38;43;21
1567;9;12;17;24;45;17
1568;8;13;17;19;37;25
1569;4;8;11;13;44;9
1570;3;10;24;29;30;22
1571;1;15;27;28;30;16
1572;5;14;32;40;43;11
1573;39;40;45;46;47;11
1574;9;10;25;26;40;8
1575;5;21;24;33;45;22
1576;4;14;28;40;45;24
1577;2;7;21;30;35;22
1578;1;2;4;16;34;10
1579;7;9;17;35;47;9
1580;1;5;9;30;39;11
1581;1;4;15;30;34;23
1582;7;23;25;33;35;15
1583;4;6;23;44;45;1
1584;26;38;40;41;42;11
1585;2;7;33;35;40;4
1586;2;11;14;33;35;15
1587;8;10;14;17;46;8
1588;7;25;27;40;45;14
1589;4;8;16;26;33;21
1590;4;5;18;23;36;13
1591;7;14;15;26;36;13
1592;8;10;16;21;27;16
1593;5;11;27;28;39;20
1594;3;13;17;27;39;20
1595;16;24;26;30;44;10
1596;15;18;27;31;34;21
1597;2;18;32;44;45;3
1598;3;11;20;42;45;3
1599;2;4;31;32;46;21
1600;11;20;23;35;37;26
1601;5;16;25;34;44;3
1602;10;29;32;41;43;11
1603;6;12;18;24;25;5
1604;1;3;4;11;19;1
1605;6;10;19;38;43;21
1606;6;9;17;27;35;24
1607;12;15;16;24;46;12
1608;5;6;8;18;24;7
1609;13;14;32;34;47;13
1610;9;15;16;36;46;16
1611;3;5;20;29;41;26
1612;16;20;30;43;46;22
1613;10;18;23;27;41;22
1614;8;32;37;38;43;25
1615;13;17;22;24;42;19
1616;6;21;34;35;40;7
1617;4;16;19;27;36;7
1618;4;12;14;28;42;7
1619;5;18;21;33;39;11
1620;2;3;14;18;24;23
1621;8;11;15;25;37;27
